pmcid,title,abstract
PMC2990691,Antiviral and Neuroprotective Role of Octaguanidinium Dendrimer-Conjugated Morpholino Oligomers in Japanese Encephalitis,"BACKGROUND: Japanese encephalitis (JE), caused by a mosquito-borne flavivirus, is endemic to the entire south-east Asian and adjoining regions. Currently no therapeutic interventions are available for JE, thereby making it one of the most dreaded encephalitides in the world. An effective way to counter the virus would be to inhibit viral replication by using anti-sense molecules directed against the viral genome. Octaguanidinium dendrimer-conjugated Morpholino (or Vivo-Morpholino) are uncharged anti-sense oligomers that can enter cells of living organisms by endocytosis and subsequently escape from endosomes into the cytosol/nuclear compartment of cells. We hypothesize that Vivo-Morpholinos generated against specific regions of 3′ or 5′ untranslated regions of JEV genome, when administered in an experimental model of JE, will have significant antiviral and neuroprotective effect. METHODOLOGY/PRINCIPAL FINDINGS: Mice were infected with JEV (GP78 strain) followed by intraperitoneal administration of Morpholinos (5 mg/kg body weight) daily for up to five treatments. Survivability of the animals was monitored for 15 days (or until death) following which they were sacrificed and their brains were processed either for immunohistochemical staining or protein extraction. Plaque assay and immunoblot analysis performed from brain homogenates showed reduced viral load and viral protein expression, resulting in greater survival of infected animals. Neuroprotective effect was observed by thionin staining of brain sections. Cytokine bead array showed reduction in the levels of proinflammatory cytokines in brain following Morpholino treatment, which were elevated after infection. This corresponded to reduced microglial activation in brain. Oxidative stress was reduced and certain stress-related signaling molecules were found to be positively modulated following Morpholino treatment. In vitro studies also showed that there was decrease in infective viral particle production following Morpholino treatment. CONCLUSIONS/SIGNIFICANCE: Administration of Vivo-Morpholino effectively resulted in increased survival of animals and neuroprotection in a murine model of JE. Hence, these oligomers represent a potential antiviral agent that merits further evaluation."
PMC3003998,Therapeutic Vaccination in Chronic Hepatitis B: Preclinical Studies in the Woodchuck,"Recommended treatment of chronic hepatitis B with interferon-α and/or nucleos(t)ide analogues does not lead to a satisfactory result. Induction of HBV-specific T cells by therapeutic vaccination or immunotherapies may be an innovative strategy to overcome virus persistence. Vaccination with commercially available HBV vaccines in patients did not result in effective control of HBV infection, suggesting that new formulations of therapeutic vaccines are needed. The woodchuck (Marmota monax) is a useful preclinical model for developing the new therapeutic approaches in chronic hepadnaviral infections. Several innovative approaches combining antiviral treatments with nucleos(t)ide analogues, DNA vaccines, and protein vaccines were tested in the woodchuck model. In this paper we summarize the available data concerning therapeutic immunization and gene therapy using recombinant viral vectors approaches in woodchucks, which show encouraging results. In addition, we present potential innovations in immunomodulatory strategies to be evaluated in this animal model."
PMC3270559,Protective Role of the ACE2/Ang-(1–9) Axis in Cardiovascular Remodeling,"Despite reduction in cardiovascular (CV) events and end-organ damage with the current pharmacologic strategies, CV disease remains the primary cause of death in the world. Pharmacological therapies based on the renin angiotensin system (RAS) blockade are used extensively for the treatment of hypertension, heart failure, and CV remodeling but in spite of their success the prevalence of end-organ damage and residual risk remain still high. Novel approaches must be discovered for a more effective treatment of residual CV remodeling and risk. The ACE2/Ang-(1–9) axis is a new and important target to counterbalance the vasoconstrictive/proliferative RAS axis. Ang-(1–9) is hydrolyzed slower than Ang-(1–7) and is able to bind the Ang II type 2 receptor. We review here the current experimental evidence suggesting that activation of the ACE2/Ang-(1–9) axis protects the heart and vessels (and possibly the kidney) from adverse cardiovascular remodeling in hypertension as well as in heart failure."
PMC4001290,Parainfluenza Virus Lower Respiratory Tract Disease After Hematopoietic Cell Transplant: Viral Detection in the Lung Predicts Outcome,"Background. Parainfluenza virus (PIV) commonly infects patients following hematopoietic cell transplantation (HCT), frequently causing lower respiratory tract disease (LRTD). The definition of LRTD significantly differs among studies evaluating the impact of PIV after HCT. Methods. We retrospectively evaluated 544 HCT recipients with laboratory-confirmed PIV and classified LRTD into 3 groups: possible (PIV detection in upper respiratory tract with new pulmonary infiltrates with/without LRTD symptoms), probable (PIV detection in lung with LRTD symptoms without new pulmonary infiltrates), and proven (PIV detection in lung with new pulmonary infiltrates with/without LRTD symptoms). Results. Probabilities of 90-day survival after LRTD were 87%, 58%, and 45% in possible, probable, and proven cases, respectively. Patients with probable and proven LRTD had significantly worse survival than those with upper respiratory tract infection (probable: hazard ratio [HR], 5.87 [P < .001]; proven: HR, 9.23 [P < .001]), whereas possible LRTD did not (HR, 1.49 [P = .27]). Among proven/probable cases, oxygen requirement at diagnosis, low monocyte counts, and high-dose steroid use (>2 mg/kg/day) were associated with high mortality in multivariable analysis. Conclusions. PIV LRTD with viral detection in lungs (proven/probable LRTD) was associated with worse outcomes than was PIV LRTD with viral detection in upper respiratory samples alone (possible LRTD). This new classification should impact clinical trial design and permit comparability of results among centers."
PMC4129829,The potential contributions of traditional Chinese medicine to emergency medicine,"BACKGROUND: Despite the fact that traditional Chinese medicine (TCM) has been developed and used to treat acute and urgent illness for many thousands of years. TCM has been widely perceived in western societies that TCM may only be effective to treat chronic diseases. The aim of this article is to provide some scientific evidence regarding the application of TCM in emergency medicine and its future potential. METHODS: Multiple databases (PubMed, ProQuest, Academic Search Elite and Science Direct) were searched using the terms: Traditional Chinese Medicine/ Chinese Medicine, Emergency Medicine, China. In addition, three leading TCM Journals in China were searched via Oriprobe Information Services for relevant articles (published from 1990—2012). Particular attention was paid to those articles that are related to TCM treatments or combined medicine in dealing with intensive and critical care. RESULTS: TCM is a systematic traditional macro medicine. The clinical practice of TCM is guided by the TCM theoretical framework – a methodology founded thousands of years ago. As the methodologies between TCM and Biomedicine are significantly different, it provides an opportunity to combine two medicines, in order to achieve clinical efficacy. Nowadays, combined medicine has become a common clinical model particular in TCM hospitals in China. CONCLUSIONS: It is evident that TCM can provide some assistance in emergency although to combine them in practice is still its infant form and is mainly at TCM hospitals in China. The future effort could be put into TCM research, both in laboratories and clinics, with high quality designs, so that TCM could be better understood and then applied in emergency medicine."
PMC4211021,An Internet-Based Epidemiological Investigation of the Outbreak of H7N9 Avian Influenza A in China Since Early 2013,"BACKGROUND: In early 2013, a new type of avian influenza, H7N9, emerged in China. It quickly became an issue of great public concern and a widely discussed topic on the Internet. A considerable volume of relevant information was made publicly available on the Internet through various sources. OBJECTIVE: This study aimed to describe the outbreak of H7N9 in China based on data openly available on the Internet and to validate our investigation by comparing our findings with a well-conducted conventional field epidemiologic study. METHODS: We searched publicly accessible Internet data on the H7N9 outbreak primarily from government and major mass media websites in China up to February 10, 2014. Two researchers independently extracted, compared, and confirmed the information of each confirmed H7N9 case using a self-designed data extraction form. We summarized the epidemiological and clinical characteristics of confirmed H7N9 cases and compared them with those from the field study. RESULTS: According to our data updated until February 10, 2014, 334 confirmed H7N9 cases were identified. The median age was 58 years and 67.0% (219/327) were males. Cases were reported in 15 regions in China. Five family clusters were found. Of the 16.8% (56/334) of the cases with relevant data, 69.6% (39/56) reported a history of exposure to animals. Of the 1751 persons with a close contact with a confirmed case, 0.6% (11/1751) of them developed respiratory symptoms during the 7-day surveillance period. In the 97.9% (327/334) of the cases with relevant data, 21.7% (71/327) died, 20.8% (68/327) were discharged from a hospital, and 57.5% (188/327) were of uncertain status. We compared our findings before February 10, 2014 and those before December 1, 2013 with those from the conventional field study, which had the latter cutoff date of ours in data collection. Our study showed most epidemiological and clinical characteristics were similar to those in the field study, except for case fatality (71/327, 21.7% for our data before February 10; 45/138, 32.6% for our data before December 1; 47/139, 33.8% for the field study), time from illness onset to first medical care (4 days, 3 days, and 1 day), and time from illness onset to death (16.5 days, 17 days, and 21 days). CONCLUSIONS: Findings from our Internet-based investigation were similar to those from the conventional field study in most epidemiological and clinical aspects of the outbreak. Importantly, publicly available Internet data are open to any interested researchers and can thus greatly facilitate the investigation and control of such outbreaks. With improved efforts for Internet data provision, Internet-based investigation has a great potential to become a quick, economical, novel approach to investigating sudden issues of great public concern that involve a relatively small number of cases like this H7N9 outbreak."
PMC4748590,Efficacy of oseltamivir-peramivir combination therapy compared to oseltamivir monotherapy for Influenza A (H7N9) infection: a retrospective study,"BACKGROUND: Since the novel H7N9 avian influenza outbreak occurred in China in 2013, neuraminidase inhibitors (NAIs) such as oseltamivir and peramivir have been used as first-line drugs to treat the influenza virus infection. This study aimed to compare the efficacy of oseltamivir-peramivir combination therapy versus oseltamivir monotherapy. METHODS: A retrospective study of 82 H7N9 confirmed patients was conducted by reviewing medical charts at the First Affiliated Hospital of ZheJiang University in China from April 1, 2013 to Feb 28, 2014. The patients’ clinical information was collected systematically, and we compared the virology and clinical data between oseltamivir monotherapy group (43 patients) and oseltamivir-peramivir combination group (39 patients). RESULTS: The median duration from NAIs administration to H7N9 virus-negative in oseltamivir monotherapy group and oseltamivir-peramivir combination group was 6.50 and 7.00 days (p >0.05), respectively. The median decline of Day 2 to Day 0 (initiation of NAIs therapy) viral load was 0.00 and 0.69 log10 copies/μl (p >0.05) respectively in the monotherapy vs. combination therapy groups. The incidence of new Acute Respiratory Distress Syndrome during NAI administration was 63.89 and 77.78 % (p >0.05); while the mortality rates were 25.58 and 43.59 % (p >0.05) in the oseltamivir group vs. oseltamivir-peramivir group. CONCLUSIONS: Our results suggest that in adults with H7N9 virus infection, the use of oseltamivir-peramivir combination therapy was not superior to oseltamivir monotherapy."
PMC4886426,Can fiberoptic bronchoscopy be applied to critically ill patients treated with noninvasive ventilation for acute respiratory distress syndrome? Prospective observational study,"BACKGROUND: Noninvasive ventilation (NIV) is a cornerstone for the treatment of acute respiratory failure of various etiologies. Using NIV is discussed in mild-to-moderate acute respiratory distress syndrome (ARDS) patients (PaO(2)/FiO(2) > 150). These patients often have comorbidities that increase the risk for bronchoscopy related complications. The primary outcome of this prospective observational study was to evaluate the feasibility, safety and contribution in diagnosis and/or modification of the ongoing treatment of fiberoptic bronchoscopy (FOB) in patients with ARDS treated with NIV. METHODS: ARDS patients treated with NIV and who require FOB as the diagnostic or therapeutic procedure were included the study. Intensive care ventilators or other dedicated NIV ventilators were used. NIV was applied via simple oro-nasal mask or full-face mask. Pressure support or inspiratory positive airway pressure (IPAP), external positive end expiratory pressure (PEEP) or expiratory positive airway pressure (EPAP) levels were titrated to achieve an expiratory tidal volume of 8 to 10 ml/kg according to ideal body weight, SpO(2) > 90 % and respiratory rate below 25/min. RESULTS: Twenty eight subjects (mean age 63.3 ± 15.9 years, 15 men, 13 women, PaO(2)/FiO(2) rate 145 ± 50.1 at admission) were included the study. Overall the procedure was well tolerated with only 5 (17.9 %) patients showing minor complications. There was no impairment in arterial blood gas and cardiopulmonary parameters after FOB. PaO(2)/FiO(2) rate increased from 132.2 ± 49.8 to 172.9 ± 63.2 (p = 0.001). No patient was intubated within 2 h after the bronchoscopy. 10.7, 32.1 and 39.3 % of the patients required invasive mechanical ventilation after 8 h, 24 h and 48 h, respectively. Bronchoscopy provided diagnosis in 27 (96.4 %) patients. Appropriate treatment was decided according to the results of the bronchoscopic sampling in 20 (71.4 %) patients. CONCLUSION: FOB under NIV could be considered as a feasible tool for diagnosis and guide for treatment of patients with ARDS treated via NIV in intensive care units. However, FOB-correlated life-treathening complications in severe hypoxemia should not be forgotten. Furthermore, further controlled studies involving a larger series of homogeneous ARDS patients undergoing FOB under NIV are needed to confirm these preliminary findings."
PMC5627236,An avian influenza H7 DNA priming vaccine is safe and immunogenic in a randomized phase I clinical trial,"A novel avian influenza subtype, A/H7N9, emerged in 2013 and represents a public health threat with pandemic potential. We have previously shown that DNA vaccine priming increases the magnitude and quality of antibody responses to H5N1 monovalent inactivated boost. We now report the safety and immunogenicity of a H7 DNA-H7N9 monovalent inactivated vaccine prime-boost regimen. In this Phase 1, open label, randomized clinical trial, we evaluated three H7N9 vaccination regimens in healthy adults, with a prime-boost interval of 16 weeks. Group 1 received H7 DNA vaccine prime and H7N9 monovalent inactivated vaccine boost. Group 2 received H7 DNA and H7N9 monovalent inactivated vaccine as a prime and H7N9 monovalent inactivated vaccine as a boost. Group 3 received H7N9 monovalent inactivated vaccine in a homologous prime-boost regimen. Overall, 30 individuals between 20 to 60 years old enrolled and 28 completed both vaccinations. All injections were well tolerated with no serious adverse events. 2 weeks post-boost, 50% of Group 1 and 33% of Group 2 achieved a HAI titer ≥1:40 compared with 11% of Group 3. Also, at least a fourfold increase in neutralizing antibody responses was seen in 90% of Group 1, 100% of Group 2, and 78% of Group 3 subjects. Peak neutralizing antibody geometric mean titers were significantly greater for Group 1 (GMT = 440.61, p < 0.05) and Group 2 (GMT = 331, p = 0.02) when compared with Group 3 (GMT = 86.11). A novel H7 DNA vaccine was safe, well-tolerated, and immunogenic when boosted with H7N9 monovalent inactivated vaccine, while priming for higher HAI and neutralizing antibody titers than H7N9 monovalent inactivated vaccine alone."
PMC5727246,Patterns of infectious complications in acute myeloid leukemia and myelodysplastic syndromes patients treated with 10‐day decitabine regimen,"Decitabine has been explored as a reduced‐intensity therapy for older or unfit patients with acute myeloid leukemia (AML). To better understand the risk of infections during decitabine treatment, we retrospectively examined the culture results from each infection‐related serious adverse event that occurred among 85 AML and myelodysplastic syndromes (MDS) patients treated in a prospective clinical study using 10‐day cycles of decitabine at Washington University School of Medicine. Culture results were available for 163 infection‐related complications that occurred in 70 patients: 90 (55.2%) events were culture‐negative, 32 (19.6%) were gram‐positive bacteria, 20 (12.3%) were gram‐negative bacteria, 12 (7.4%) were mixed, 6 (3.7%) were viral, 2 (1.2%) were fungal, and 1 (0.6%) was mycobacterial. Infection‐related mortality occurred in 3/24 (13%) of gram‐negative events, and 0/51 gram‐positive events. On average, nearly one third of patients experienced an infection‐related complication with each cycle, and the incidence did not decrease during later cycles. In summary, in patients receiving 10‐day decitabine, infectious complications are common and may occur during any cycle of therapy. Although febrile events are commonly culture‐negative, gram‐positive infections are the most frequent source of culture‐positive infections, but gram‐negative infections represent a significant risk of mortality in AML and MDS patients treated with decitabine."
